K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
10,20,102127,0.5,0.01,5,5,129.84505291678943,True,0.003499440251806485,0.45444979215972126,True,4.3298697960381105e-15
10,20,102128,0.5,0.01,5,5,238.08192929206416,True,0.008726037279515708,0.41966100013814867,True,-1.6930901125533637e-13
10,20,102129,0.5,0.01,5,5,17.881419083103538,True,0.006525788020059986,0.4154450420755893,True,7.771561172376096e-16
10,20,102130,0.5,0.01,5,5,116.23007054114714,True,0.007823885841251266,0.4005935408640653,True,2.3314683517128287e-15
10,20,102131,0.5,0.01,5,5,853.9610988330096,False,0.015026130166172602,0.35935700009576976,True,4.107825191113079e-15
10,20,102132,0.5,0.01,5,5,34.39396662497893,True,0.005707696622601288,0.42081579216755927,True,1.4432899320127035e-15
10,20,102133,0.5,0.01,5,5,317.7528953750152,True,0.00532754835188598,0.5273437919095159,True,2.1094237467877974e-15
10,20,102134,0.5,0.01,5,5,714.3478745839093,True,0.005300344779249011,0.724099125014618,False,
10,20,102135,0.5,0.01,5,5,24.37186445808038,True,1.0880185641326534e-14,0.4656710419803858,True,8.659739592076221e-15
10,20,102136,0.5,0.01,5,5,210.0697213341482,True,0.006268260107551216,0.4726942088454962,True,2.55351295663786e-15
10,20,102137,0.5,0.01,5,5,181.80173466703855,True,2.3607120381186064e-05,0.6870760410092771,False,
10,20,102138,0.5,0.01,5,5,167.60171225015074,True,4.877320769480775e-11,3.644654083997011,False,
10,20,102139,0.5,0.01,5,5,28.212442958028987,True,0.0004817493187273536,0.40839808294549584,True,3.915745505622681e-11
10,20,102140,0.5,0.01,5,5,460.886178500019,True,0.009111442838548256,0.5632579999510199,True,1.9984014443252818e-15
10,20,102141,0.5,0.01,5,5,9.863288959022611,True,0.004315695685012666,0.4120929171331227,True,1.3322676295501878e-15
10,20,102142,0.5,0.01,5,5,33.62416937481612,True,8.590714438805325e-05,0.4147835420444608,True,1.2212453270876722e-15
10,50,105123,0.5,0.01,8,5,1160.9065566249192,False,0.013065301734795587,1.59268091712147,False,
10,50,105124,0.5,0.01,8,5,858.2038922919892,False,0.011002822546818392,1.1497319580521435,True,7.216449660063518e-15
10,50,105125,0.5,0.01,8,5,39.37192383292131,True,0.009465426237841412,3.7826717500574887,False,
10,50,105126,0.5,0.01,8,5,637.4844867498614,True,0.005088764800533885,1.6799342499580234,True,-4.893196958732915e-12
10,50,105127,0.5,0.01,8,5,1119.9804713341873,False,0.01941519164662786,3.6511368330102414,False,
10,50,105128,0.5,0.01,8,5,589.3925348329358,True,0.008264555045412125,2.178250583121553,True,2.3532509274559743e-11
10,50,105129,0.5,0.01,8,5,519.5191612499766,True,0.0077479272153806455,2.240431417012587,True,9.547918011776346e-15
10,50,105130,0.5,0.01,8,5,1078.3273713330273,False,0.02770275561080504,4.1955872918479145,False,
10,50,105131,0.5,0.01,8,5,1893.5093122909311,False,0.012007270033737805,2.106178792193532,True,8.215650382226158e-15
10,50,105132,0.5,0.01,8,5,265.08551604207605,True,0.004230640458773749,2.4295330829918385,True,1.687538997430238e-14
10,50,105133,0.5,0.01,8,5,1078.6681224580389,False,0.01046457010950641,3.543711582897231,False,
10,50,105134,0.5,0.01,8,5,117.28087354195304,True,0.006426344903535441,4.371378416894004,False,
10,50,105135,0.5,0.01,8,5,512.99306241679,True,0.0062787991116251,3.802344833035022,False,
10,50,105136,0.5,0.01,8,5,1172.4619277080055,False,0.011095608625504294,2.0989134169649333,True,7.216449660063518e-15
10,50,105137,0.5,0.01,8,5,463.16062679118477,True,0.008130477587654839,3.887249124934897,False,
10,50,105138,0.5,0.01,8,5,1005.6321922501083,True,0.005747154898269935,1.9249120000749826,True,2.631228568361621e-14
10,50,105139,0.5,0.01,8,5,1138.3599524158053,False,0.01682357760402664,2.8653491670265794,False,
10,50,105140,0.5,0.01,8,5,1034.891123832902,False,0.034768646470015874,1.4020871249958873,True,1.7763568394002505e-15
10,50,105141,0.5,0.01,8,5,158.98016491695307,True,0.005654384176043581,3.7368188749533147,False,
