risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
cvar,250,10,86,3501209,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0029356165395604816,0.0029356165395604816,0.0009847469320745095,0.4871248761634111,0.48838233149398036,0.006586541887372732
cvar,250,10,87,3501210,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0029402207699086302,0.001881145586391797,0.0029402207699086302,0.488984606462465,0.48762678386214264,0.006171083077788353
cvar,250,10,88,3501211,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001711386757962452,0.0016780863111475752,0.001711386757962452,0.4881857113803541,0.491580132071385,0.006366458255797625
cvar,250,10,89,3501212,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001419367905410418,0.0011010723694848679,0.001419367905410418,0.4917209750610147,0.48807989072419755,0.006310792174190283
cvar,250,10,90,3501213,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012363412468615609,0.0008270553612018672,0.0012363412468615609,0.4880688730661287,0.4896686100312523,0.006563624832779169
cvar,250,10,91,3501214,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001050272226172544,0.0005645858754318445,0.001050272226172544,0.48883303932844124,0.4891208172115234,0.0066154999658465385
cvar,250,10,92,3501215,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002442950966869084,0.002442950966869084,0.0005029978750574204,0.4897252369831939,0.4866566143050189,0.006552292034029961
cvar,250,10,93,3501216,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0021984425158102505,0.000886708268679981,0.0021984425158102505,0.48675031620584375,0.48801418035032956,0.006669916212558746
cvar,250,10,94,3501217,0.5,0.5,0.01,0.0,1.0,uniform,True,0.003204470929768166,0.003204470929768166,0.0026284113890727157,0.49206984076081983,0.4873670954387604,0.0062573752366006374
cvar,250,10,95,3501218,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0010971211231687872,0.0010451988063597817,0.0010971211231687872,0.48410546665670173,0.48906365141689606,0.006699792109429836
