K,n,seed,gamma,alpha,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
10,10,101137,0.5,0.05,0.01,4,5,1579.4472622922622,True,0.007936832134747607,0.2858455409295857,True,-4.496524264041568e-10
10,10,101138,0.5,0.05,0.01,4,5,296.2242398750968,True,0.007045014347183187,0.3014632500708103,True,-1.597534993180716e-09
10,10,101139,0.5,0.05,0.01,4,5,1969.2173803327605,True,0.007521250264683976,0.21779362531378865,False,
10,10,101140,0.5,0.05,0.01,4,5,1744.7349935420789,False,0.013038230390498784,0.14498454192653298,True,8.526990225021791e-11
10,10,101141,0.5,0.05,0.01,4,5,143.51840962516144,True,0.0035567250337794065,0.1555348332040012,True,1.5325185565018273e-11
10,10,101142,0.5,0.05,0.01,4,5,1383.4119265829213,False,0.010404457509961995,0.15464829187840223,True,-6.1911586968221854e-12
10,20,102123,0.5,0.05,0.01,5,5,2349.9263165001757,False,0.018798024532569957,0.5822604997083545,False,
10,20,102124,0.5,0.05,0.01,5,5,2456.5864205001853,False,0.022115366336310394,0.9917493327520788,False,
10,20,102125,0.5,0.05,0.01,5,5,2376.427111042198,False,3.4857391561268036,0.5093744997866452,False,
10,20,102126,0.5,0.05,0.01,5,5,2376.5338300000876,False,0.022834183403216857,0.6950922086834908,False,
10,20,102127,0.5,0.05,0.01,5,5,2795.472964500077,False,0.02117777595958592,0.5810288330540061,False,
10,20,102128,0.5,0.05,0.01,5,5,2973.631861458067,False,0.010724224485326506,0.6220252085477114,False,
10,20,102129,0.5,0.05,0.01,5,5,2062.187212542165,False,,0.5643141670152545,False,
10,20,102130,0.5,0.05,0.01,5,5,2450.135399916675,False,,0.6349913747981191,False,
10,20,102131,0.5,0.05,0.01,5,5,2236.1228374168277,False,,0.669477874878794,False,
10,20,102132,0.5,0.05,0.01,5,5,2072.444953250233,False,0.02721664895966125,0.3875790839083493,False,1.6725807016841348
10,20,102133,0.5,0.05,0.01,5,5,2131.3588257501833,False,0.02133631519269097,0.7128025419078767,False,
10,20,102134,0.5,0.05,0.01,5,5,2015.8283864171244,True,0.009615247710766273,0.5646997918374836,False,
10,20,102135,0.5,0.05,0.01,5,5,1917.2473014169373,False,0.0131609904647626,0.6691749999299645,False,
