K,n,seed,gamma,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,methods,dual_success,dual_time_s,dual_eta,dual_regret1,dual_regret2,dual_screen_eta,dual_support_eta,dual_dual_eta,dual_support_violation,dual_mcp_time_s,dual_solver,dual_candidate_index,dual_has_profile,dual_best_dev1_success,dual_best_dev2_success,dual_error,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_screen_eta,restricted_mcp_support_eta,restricted_mcp_dual_eta,restricted_mcp_support_violation,restricted_mcp_mcp_time_s,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_has_profile,restricted_mcp_best_dev1_success,restricted_mcp_best_dev2_success,restricted_mcp_error,eta_diff_mcp_minus_dual,time_ratio_mcp_over_dual,x_l1_mcp_minus_dual,y_l1_mcp_minus_dual
10,10,101123,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.8877590000629425,0.0033423717995092472,0.0033423717992927537,0.0033423717995092472,nan,0.0033423717995092472,0.0033423717990893314,8.751749325242031e-13,nan,,3,True,True,True,,True,0.17325450014322996,0.00522771090681351,0.00522771090681351,0.0,nan,0.00522771090681351,nan,nan,0.0201622499153018,pathampl,3,True,True,True,,0.0018853391073042625,0.1951593846200896,0.0,0.11479237516547831
10,10,101124,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.2588555421680212,0.007435070444524516,0.007435070408146838,0.007435070444524516,nan,0.007435070444524516,0.00743507040739782,4.239864015431749e-11,nan,,1,True,True,True,,True,0.4831566666252911,0.004251273218505491,0.004251273218505491,0.0,nan,0.004251273218505491,nan,nan,0.021019707899540663,pathampl,12,True,True,True,,-0.003183797226019025,1.86651080590609,2.0,2.0
10,10,101125,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.2263761251233518,0.007355602062349198,0.007355602062349198,0.00735560206234287,nan,0.007355602062349198,0.007355602062340948,3.1308289294429414e-14,nan,,1,True,True,True,,True,0.05081495875492692,0.008294560712952648,0.008294560712952648,0.0,nan,0.008294560712952648,nan,nan,0.02974941721186042,pathampl,1,True,True,True,,0.0009389586506034497,0.22447136917481014,0.014355633533698231,0.10762457529845983
10,10,101126,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,2.014282917138189,0.006217775808024517,0.006217775807829895,0.006217775808024517,nan,0.006217775808024517,0.006217775807748598,1.992939147044126e-11,nan,,6,True,True,True,,True,0.3780179168097675,0.004792612115786188,0.004792612115786188,0.0,nan,0.004792612115786188,nan,nan,0.033868415746837854,pathampl,8,True,True,True,,-0.0014251636922383293,0.18766872994526504,1.5974235015822027,2.0
10,10,101127,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.29999745776876807,0.0022397652661996226,0.0022397652661996226,0.0022397652661990675,nan,0.0022397652661996226,0.002239765266197127,2.3314683517128287e-15,nan,,1,True,True,True,,True,0.5156931253150105,0.0,0.0,0.0,nan,0.0,nan,nan,0.019250208046287298,pathampl,12,True,True,True,,-0.0022397652661996226,1.7189916512975796,2.0,2.0
10,10,101128,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.8788119577802718,0.007654318884405931,0.007654318884405931,0.007654318884401934,nan,0.007654318884405931,0.007654318884405978,1.6930901125533637e-15,nan,,3,True,True,True,,True,0.8878730423748493,0.0073449166874528515,1.2271295091181855e-12,0.0073449166874528515,nan,0.0073449166874528515,nan,nan,0.018122542183846235,pathampl,21,True,True,True,,-0.00030940219695307913,1.0103106068532162,1.9999999999999913,1.897970291396764
10,10,101129,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.32432912522926927,0.0027695438214553336,0.002769543804208907,0.0027695438214553336,nan,0.0027695438214553336,0.002769543804149051,3.472533371962072e-11,nan,,1,True,True,True,,True,0.04171054204925895,0.004712029719854294,0.0,0.004712029719854294,nan,0.004712029719854294,nan,nan,0.020704292226582766,pathampl,1,True,True,True,,0.0019424858983989601,0.1286056009301466,0.11263133994622909,1.8773205236486012e-14
10,10,101130,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,1.8447115826420486,0.0025796230390607855,0.0025796230379212526,0.0025796230390607855,nan,0.0025796230390607855,0.0025796230384230825,4.321987212563272e-12,nan,,5,True,True,True,,True,0.8965860418975353,0.009284278651530142,0.009284278651530142,0.004074920824970629,nan,0.009284278651530142,nan,nan,0.04219358414411545,pathampl,21,True,True,True,,0.006704655612469357,0.4860304723697887,1.9999999999999998,1.9999999999999998
10,10,101131,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,1.7870596661232412,0.0030860023975403106,0.003086002397433396,0.0030860023975403106,nan,0.0030860023975403106,0.003086002397528799,1.0769163338864018e-13,nan,,5,True,True,True,,True,0.18259254097938538,0.008798193222705919,0.008798193222705919,0.0,nan,0.008798193222705919,nan,nan,0.01943245902657509,pathampl,5,True,True,True,,0.005712190825165608,0.10217484309043391,0.16418926342599238,0.11800363269578783
10,10,101132,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.774385541677475,0.008356956900721801,0.008356956900709034,0.008356956900721801,nan,0.008356956900721801,0.00835695690072062,2.1538326677728037e-14,nan,,3,True,True,True,,True,0.2986431671306491,0.004267505996665477,0.004267505996665477,0.0019002444412039576,nan,0.004267505996665477,nan,nan,0.024455499835312366,pathampl,7,True,True,True,,-0.004089450904056324,0.38565178590980387,2.0,2.0
